Abbr,City,Mascot,arena_id
ATL,Atlanta,Hawks,1
BOS,Boston,Celtics,2
BRK,Brooklyn,Nets,3
CHA,Charlotte,Hornets,4
CHH,Charlotte,Hornets,4
CHI,Chicago,Bulls,5
CHO,Charlotte,Hornets,4
CLE,Cleveland,Cavaliers,6
DAL,Dallas,Mavericks,7
DEN,Denver,Nuggets,8
DET,Detroit,Pistons,9
GSW,Golden State,Warriors,10
HOU,Houston,Rockets,11
IND,Indiana,Pacers,12
LAC,LA,Clippers,13
LAL,LA,Lakers,14
MEM,Memphis,Grizzlies,15
MIA,Miami,Heat,16
MIL,Milwaukee,Bucks,17
MIN,Minnesota,Timberwolves,18
NJN,New Jersey,Nets,
NOH,New Orleans,Pelicans,19
NOK,New Orleans/Oklahoma City,Hornets,
NOP,New Orleans,Pelicans,19
NYK,New York,NY Knicks,20
OKC,Oklahoma City,Thunder,21
ORL,Orlando,Magic,22
PHI,Philadelphia,76ers,23
PHO,Phoenix,Suns,24
POR,Portland,Trail Blazers,25
SAC,Sacramento,Kings,26
SAS,San Antonio,Spurs,27
SEA,Seattle,Supersonics,
TOR,Toronto,Raptors,28
UTA,Utah,Jazz,29
VAN,Vancouver,Grizzlies,
WAS,Washington,Wizards,30
WSB,Washington,Bullets,